model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 3 Series,2017.0,Semi-Auto,,Diesel,,51.4,3.0,22980
 3 Series,2015.0,Manual,37373.0,Diesel,,64.2,2.0,13991
 X1,2020.0,Semi-Auto,1501.0,Diesel,,50.4,2.0,29995
 X3,2019.0,Semi-Auto,4741.0,Petrol,145.0,24.8,3.0,59995
 X1,2018.0,Semi-Auto,21336.0,,150.0,44.8,2.0,23961
 8 Series,2019.0,Automatic,4075.0,Petrol,145.0,26.7,3.0,69898
 3 Series,2018.0,Automatic,24716.0,Diesel,150.0,64.2,0.0,18000
 3 Series,2018.0,Semi-Auto,3552.0,Diesel,145.0,53.3,,24250
 3 Series,2014.0,Automatic,36846.0,Diesel,125.0,,3.0,15300
 1 Series,2016.0,Manual,27696.0,Diesel,30.0,,,12980
 X3,2018.0,Semi-Auto,,Diesel,145.0,54.3,2.0,39650
 X7,2020.0,Semi-Auto,6137.0,Diesel,145.0,33.6,3.0,63990
 5 Series,2017.0,Automatic,28628.0,,,65.7,2.0,23999
 X3,2020.0,Semi-Auto,2000.0,,135.0,5.5,2.0,53995
 i3,2016.0,Automatic,25269.0,Other,0.0,470.8,0.6,17100
 5 Series,2017.0,Automatic,5336.0,Hybrid,135.0,156.9,2.0,24999
 5 Series,2016.0,Automatic,30754.0,Diesel,30.0,62.8,2.0,17499
 3 Series,2016.0,Manual,47821.0,Diesel,30.0,64.2,2.0,13100
 3 Series,2013.0,Manual,,Diesel,,58.9,2.0,11001
 1 Series,2016.0,Manual,,Diesel,20.0,70.6,,13949
 4 Series,2017.0,Semi-Auto,27292.0,Diesel,160.0,49.6,3.0,24295
 3 Series,2019.0,Semi-Auto,8853.0,Diesel,,52.3,2.0,29754
 1 Series,2019.0,Manual,1357.0,Diesel,145.0,53.3,2.0,25976
 3 Series,2014.0,Manual,51122.0,Diesel,30.0,62.8,2.0,12475
 3 Series,2019.0,Semi-Auto,14897.0,Diesel,145.0,,,24498
 X5,2019.0,Semi-Auto,8481.0,Diesel,150.0,37.7,3.0,47990
 X1,2018.0,Automatic,19063.0,Petrol,145.0,44.8,2.0,22500
 X4,2017.0,Semi-Auto,,Diesel,,54.3,2.0,24500
 2 Series,2017.0,Semi-Auto,2210.0,Petrol,150.0,,1.5,16498
 X3,,Automatic,54000.0,Diesel,145.0,54.3,2.0,19850
 2 Series,2016.0,Automatic,,,30.0,64.2,2.0,13999
 3 Series,2017.0,Automatic,24501.0,Diesel,30.0,64.2,,16899
 5 Series,2019.0,Automatic,1647.0,Diesel,145.0,60.1,2.0,28850
 4 Series,2019.0,Semi-Auto,7949.0,Diesel,150.0,65.7,2.0,22490
 X1,2016.0,Semi-Auto,4622.0,Petrol,,44.8,2.0,22260
 3 Series,2020.0,Manual,16.0,Diesel,145.0,,2.0,23990
 X1,2019.0,Semi-Auto,2372.0,Petrol,150.0,48.7,2.0,26480
 5 Series,2015.0,Semi-Auto,,Diesel,145.0,53.3,3.0,15998
 2 Series,2019.0,Semi-Auto,4170.0,Petrol,,50.4,2.0,21980
 X5,2019.0,Semi-Auto,1486.0,Diesel,145.0,,3.0,46440
 2 Series,2018.0,Automatic,,Petrol,145.0,47.9,2.0,19240
 3 Series,2019.0,Semi-Auto,8576.0,Diesel,145.0,49.6,2.0,33475
 3 Series,2018.0,Automatic,29433.0,Diesel,145.0,62.8,,17399
 2 Series,2019.0,Manual,123.0,Petrol,145.0,52.3,1.5,22646
 5 Series,,Semi-Auto,13970.0,,,65.7,2.0,23998
 1 Series,2017.0,Semi-Auto,33311.0,Petrol,,39.8,3.0,21495
 1 Series,2018.0,Manual,18021.0,Petrol,145.0,,1.5,15637
 5 Series,2014.0,Automatic,,Diesel,20.0,68.9,2.0,11900
 3 Series,2020.0,Semi-Auto,,,145.0,47.9,3.0,35995
 2 Series,2017.0,Semi-Auto,29000.0,Diesel,,57.6,2.0,15950
 6 Series,2017.0,Semi-Auto,23451.0,Diesel,,49.6,3.0,22991
 3 Series,2012.0,Automatic,,Diesel,160.0,52.3,,7475
 3 Series,2019.0,Semi-Auto,2198.0,Petrol,145.0,47.9,2.0,23980
 1 Series,2015.0,Manual,62000.0,,125.0,50.4,1.6,7990
 4 Series,2017.0,Automatic,43290.0,Diesel,,,2.0,15600
 5 Series,2018.0,Semi-Auto,26471.0,Petrol,150.0,39.2,3.0,28998
 3 Series,2018.0,Semi-Auto,33188.0,Diesel,150.0,53.3,3.0,22895
 3 Series,2016.0,Automatic,,Diesel,145.0,,3.0,18770
 X2,2019.0,Automatic,4501.0,Petrol,145.0,39.2,,33551
 3 Series,2016.0,Manual,52713.0,Diesel,30.0,64.2,2.0,13999
 2 Series,2015.0,Semi-Auto,29599.0,Petrol,145.0,50.4,2.0,14120
 4 Series,2019.0,Automatic,4349.0,Diesel,145.0,60.1,2.0,24016
 X1,2017.0,Manual,62344.0,Diesel,150.0,68.9,2.0,12700
 X1,2016.0,Automatic,45880.0,Diesel,30.0,,2.0,16450
 7 Series,2019.0,Automatic,2000.0,,135.0,113.0,2.0,49000
 3 Series,2015.0,Manual,44538.0,Diesel,125.0,57.6,2.0,14950
 i8,2017.0,Automatic,17580.0,Hybrid,0.0,134.5,1.5,52495
 4 Series,2017.0,Semi-Auto,22100.0,Diesel,150.0,65.7,2.0,19961
 X7,2019.0,Automatic,,Diesel,,,,62995
 2 Series,2017.0,Manual,14143.0,Diesel,150.0,74.3,1.5,15261
 1 Series,2019.0,Semi-Auto,,Petrol,145.0,40.4,1.5,24600
 4 Series,2019.0,Semi-Auto,7038.0,Diesel,150.0,,,26592
 5 Series,2017.0,Semi-Auto,27395.0,Diesel,145.0,60.1,2.0,22998
 5 Series,2018.0,Automatic,53519.0,Other,,,2.0,21940
 X1,2017.0,Automatic,11253.0,Diesel,125.0,57.6,2.0,21312
 X1,2019.0,Automatic,5217.0,Diesel,145.0,60.1,2.0,24950
 3 Series,2013.0,Manual,93000.0,Petrol,145.0,47.9,1.6,7490
 X5,2019.0,Semi-Auto,4729.0,Diesel,145.0,37.7,,50990
 3 Series,2016.0,Automatic,36157.0,,0.0,134.5,2.0,17532
 3 Series,2017.0,Semi-Auto,43362.0,Diesel,,56.5,3.0,17000
 X1,2016.0,Semi-Auto,25710.0,Diesel,30.0,65.7,2.0,17360
 2 Series,2019.0,Manual,123.0,Petrol,145.0,52.3,1.5,22646
 3 Series,2018.0,Automatic,29473.0,Diesel,145.0,64.2,2.0,19800
 X5,2019.0,Semi-Auto,3224.0,Diesel,145.0,37.7,3.0,51902
 5 Series,2014.0,Automatic,59239.0,Diesel,150.0,55.4,2.0,12700
 X5,2014.0,Automatic,51252.0,Diesel,200.0,45.6,3.0,23980
 3 Series,2018.0,Automatic,20461.0,Diesel,145.0,60.1,2.0,17620
 X3,2017.0,Automatic,,,,54.3,2.0,20500
 5 Series,2019.0,Automatic,7195.0,Diesel,145.0,60.1,2.0,34999
 2 Series,2017.0,Semi-Auto,16261.0,Petrol,145.0,39.8,3.0,23875
 X2,2019.0,Automatic,8848.0,Petrol,145.0,38.7,2.0,23726
 2 Series,2016.0,Semi-Auto,37573.0,Diesel,145.0,,2.0,16995
 3 Series,2012.0,Manual,94111.0,Diesel,30.0,62.8,2.0,7000
 2 Series,2017.0,Automatic,21697.0,Petrol,30.0,55.4,,14485
 1 Series,2017.0,Semi-Auto,23000.0,,145.0,39.8,3.0,21995
 1 Series,2019.0,Automatic,3855.0,,145.0,48.7,2.0,28980
 1 Series,2019.0,Manual,11191.0,Petrol,145.0,53.3,1.5,15199
 X2,2019.0,Semi-Auto,,Petrol,145.0,36.2,2.0,31084
 4 Series,2017.0,Semi-Auto,13543.0,Diesel,160.0,50.4,3.0,24995
 1 Series,2017.0,Semi-Auto,29319.0,,200.0,39.8,3.0,20498
 1 Series,2019.0,Manual,3312.0,Petrol,145.0,,1.5,17697
 5 Series,2019.0,Semi-Auto,2019.0,Petrol,,48.7,,31490
 4 Series,2016.0,Semi-Auto,36741.0,Petrol,200.0,41.5,3.0,21104
 3 Series,2019.0,Semi-Auto,,Diesel,150.0,53.3,2.0,25940
 X3,2016.0,Automatic,81050.0,Diesel,150.0,54.3,2.0,16295
 X3,,Semi-Auto,105.0,Diesel,145.0,54.3,,36440
 1 Series,2017.0,Manual,41435.0,Diesel,0.0,83.1,1.5,10200
 1 Series,2019.0,Semi-Auto,3883.0,Petrol,,34.5,2.0,32990
 X5,2019.0,Semi-Auto,,Diesel,,37.7,,47440
 1 Series,2019.0,Semi-Auto,11137.0,,145.0,72.4,1.5,16950
 X1,2017.0,Automatic,8000.0,Diesel,150.0,60.1,2.0,20990
 3 Series,2018.0,Automatic,21045.0,Diesel,145.0,62.8,2.0,21512
 2 Series,2017.0,Manual,15001.0,Diesel,145.0,74.3,1.5,13591
 X1,2017.0,Semi-Auto,25291.0,Diesel,30.0,65.7,2.0,16698
 X2,2020.0,Semi-Auto,14.0,,145.0,34.0,2.0,34450
 3 Series,2019.0,Semi-Auto,8235.0,Diesel,145.0,,2.0,29990
 1 Series,2015.0,Manual,30000.0,Diesel,,,1.5,10490
 3 Series,2017.0,Automatic,40097.0,Diesel,145.0,64.2,2.0,18690
 3 Series,2015.0,Automatic,33330.0,Diesel,,60.1,2.0,13960
 3 Series,2015.0,Automatic,91969.0,,20.0,68.9,2.0,9350
 2 Series,2016.0,Manual,37567.0,Diesel,0.0,74.3,1.5,10400
 3 Series,2019.0,Semi-Auto,14850.0,Diesel,145.0,48.7,2.0,28450
 X1,2019.0,Automatic,10576.0,Diesel,145.0,,2.0,24800
 M4,2019.0,Automatic,,Petrol,145.0,34.0,3.0,49999
 1 Series,2016.0,Automatic,14072.0,Diesel,20.0,68.9,1.5,15390
 1 Series,2019.0,Semi-Auto,5077.0,Petrol,145.0,55.5,1.5,19840
 M6,2006.0,Semi-Auto,89000.0,Petrol,,19.1,5.0,12495
 X2,,Automatic,123.0,Petrol,145.0,38.7,2.0,26972
 1 Series,2019.0,Automatic,,Petrol,145.0,34.5,2.0,31990
 X4,2019.0,Semi-Auto,,Diesel,150.0,42.8,2.0,33998
 7 Series,2016.0,Semi-Auto,21224.0,Petrol,300.0,35.3,4.4,32990
 1 Series,2013.0,Manual,32097.0,Petrol,145.0,50.4,1.6,10999
 5 Series,2017.0,Automatic,30379.0,Diesel,125.0,60.1,2.0,16850
 X3,2016.0,Semi-Auto,34325.0,Diesel,145.0,54.3,2.0,19990
 3 Series,2016.0,Manual,27218.0,,235.0,38.7,2.0,15799
 5 Series,2019.0,Automatic,9222.0,Diesel,145.0,65.7,2.0,32499
 3 Series,2017.0,Manual,37676.0,Diesel,30.0,64.2,2.0,12791
 3 Series,2014.0,Manual,99920.0,Diesel,125.0,58.9,2.0,8000
 4 Series,,Automatic,18399.0,Diesel,30.0,64.2,,19350
 4 Series,2019.0,Manual,110.0,Petrol,145.0,46.3,2.0,27700
 5 Series,2014.0,Semi-Auto,31039.0,Diesel,145.0,,2.0,14959
 1 Series,2018.0,Manual,5531.0,Petrol,145.0,,1.5,16139
 3 Series,2019.0,Automatic,11681.0,Diesel,145.0,,2.0,28999
 i8,2019.0,Automatic,10.0,,,141.2,1.5,74226
 4 Series,2019.0,Automatic,5865.0,Petrol,145.0,48.7,2.0,23270
 X7,2020.0,Semi-Auto,1501.0,Diesel,145.0,33.6,3.0,64995
 1 Series,2019.0,Manual,7645.0,Petrol,,,1.5,24490
 X3,2019.0,Semi-Auto,4624.0,Diesel,,48.7,3.0,36222
 3 Series,2013.0,Semi-Auto,74712.0,Petrol,205.0,42.8,2.0,10998
 3 Series,2019.0,Semi-Auto,104.0,Diesel,145.0,,2.0,29950
 2 Series,2017.0,Manual,31601.0,Diesel,150.0,74.3,1.5,11800
 X1,2016.0,Manual,39917.0,,125.0,58.9,2.0,15991
 2 Series,2019.0,Manual,5907.0,Petrol,,42.2,1.5,20875
 X3,2018.0,Semi-Auto,20290.0,Diesel,145.0,48.7,3.0,31000
 X5,2019.0,Automatic,4810.0,Diesel,145.0,37.7,3.0,49980
 X3,2019.0,Semi-Auto,8438.0,Petrol,145.0,30.4,2.0,31500
 X3,2017.0,Semi-Auto,,Diesel,145.0,54.3,2.0,21480
 2 Series,2019.0,Automatic,8702.0,,135.0,148.7,1.5,21450
 1 Series,2020.0,Manual,,Diesel,145.0,53.3,2.0,27995
 X6,2020.0,Semi-Auto,5000.0,Diesel,145.0,34.9,3.0,55995
 X5,2016.0,Automatic,31525.0,,,42.8,3.0,36602
 3 Series,2018.0,Manual,,Diesel,150.0,64.2,2.0,19575
 5 Series,2018.0,Automatic,6500.0,Hybrid,,156.9,,29000
 4 Series,2019.0,Semi-Auto,7937.0,Diesel,145.0,65.7,2.0,23850
 4 Series,2019.0,Automatic,4837.0,Diesel,145.0,65.7,2.0,29995
 1 Series,2017.0,Semi-Auto,43260.0,Petrol,145.0,55.5,1.5,14066
 3 Series,2019.0,Semi-Auto,2203.0,Petrol,145.0,,2.0,29530
 X3,2016.0,Semi-Auto,12996.0,Diesel,150.0,54.3,2.0,18990
 2 Series,2018.0,Semi-Auto,9641.0,Petrol,145.0,38.2,2.0,19000
 4 Series,2016.0,Automatic,17944.0,Diesel,30.0,65.7,2.0,18990
 1 Series,2019.0,Semi-Auto,5250.0,Petrol,145.0,55.5,,18995
 2 Series,2017.0,Semi-Auto,25252.0,Petrol,145.0,51.4,1.5,16962
 1 Series,2016.0,Manual,10.0,Diesel,20.0,72.4,1.5,19490
 X1,2017.0,Automatic,18404.0,Diesel,,60.1,,18700
 2 Series,2020.0,Manual,10.0,Petrol,145.0,,1.5,22980
 6 Series,2019.0,Automatic,9000.0,Diesel,,42.2,,52500
 X3,2019.0,Semi-Auto,7281.0,Diesel,145.0,54.3,,31780
 3 Series,2019.0,Semi-Auto,5400.0,Diesel,145.0,49.6,2.0,32990
 3 Series,2017.0,Manual,,Petrol,145.0,48.7,2.0,15916
 4 Series,2019.0,Semi-Auto,,Diesel,145.0,65.7,2.0,24622
 3 Series,2020.0,Semi-Auto,132.0,Diesel,145.0,52.3,2.0,38991
 X3,2016.0,Automatic,32330.0,Diesel,200.0,47.9,3.0,21600
 3 Series,2015.0,Automatic,45909.0,Diesel,30.0,62.8,,14982
 2 Series,2017.0,Manual,31265.0,Petrol,145.0,47.1,1.5,15100
 5 Series,2016.0,Automatic,,Diesel,30.0,62.8,2.0,15999
 4 Series,,Automatic,3419.0,Diesel,145.0,60.1,2.0,28888
 X2,2018.0,Semi-Auto,,Diesel,145.0,61.4,2.0,24530
 M4,2019.0,Semi-Auto,4931.0,Petrol,,34.0,3.0,44950
 1 Series,2016.0,Manual,,Petrol,30.0,56.5,1.5,9800
 X1,2016.0,Manual,45479.0,Diesel,125.0,58.9,,14200
 Z4,2004.0,Manual,39000.0,Petrol,330.0,31.0,3.0,8750
 5 Series,2019.0,Semi-Auto,,,145.0,,2.0,30000
 1 Series,2013.0,Manual,58689.0,Petrol,,,1.6,9700
 4 Series,2019.0,Automatic,8018.0,Petrol,,45.6,2.0,26750
 X1,2017.0,Automatic,17877.0,Diesel,145.0,,2.0,21350
 X6,2019.0,Semi-Auto,2710.0,Petrol,,26.4,3.0,66281
 1 Series,2019.0,,10844.0,Petrol,145.0,53.3,1.5,15199
 5 Series,2019.0,Semi-Auto,4727.0,Diesel,,62.8,2.0,29000
 2 Series,2016.0,Manual,,Diesel,,65.7,2.0,11899
 8 Series,2020.0,Semi-Auto,3242.0,Petrol,150.0,33.6,3.0,56990
 3 Series,2019.0,Semi-Auto,11748.0,Petrol,,47.9,2.0,23991
 4 Series,,Semi-Auto,,Petrol,,,,27950
 X3,2012.0,Automatic,72040.0,Diesel,160.0,,2.0,11995
 5 Series,2017.0,Semi-Auto,26971.0,Diesel,,62.8,2.0,24480
 5 Series,2019.0,Semi-Auto,7657.0,Hybrid,,,2.0,27241
 2 Series,2016.0,Automatic,67370.0,Petrol,125.0,,2.0,11795
 3 Series,2015.0,Automatic,33452.0,Diesel,30.0,64.2,2.0,15600
 3 Series,,Semi-Auto,27823.0,,150.0,44.1,2.0,17995
 3 Series,2019.0,Semi-Auto,7944.0,Diesel,145.0,55.4,2.0,22312
 M4,2019.0,Semi-Auto,2373.0,Petrol,145.0,34.0,3.0,45999
 3 Series,2015.0,Automatic,98503.0,Diesel,30.0,65.7,2.0,9210
 4 Series,,,4300.0,Diesel,145.0,53.3,3.0,31210
 1 Series,2014.0,Semi-Auto,35093.0,Diesel,,,2.0,14869
 X4,,Semi-Auto,52020.0,Diesel,145.0,54.3,2.0,19660
 1 Series,2019.0,Manual,5170.0,Petrol,145.0,41.5,1.5,22940
 2 Series,2020.0,Semi-Auto,1501.0,Petrol,145.0,36.2,2.0,32995
 X3,2016.0,Automatic,68000.0,Diesel,145.0,,2.0,18250
 X1,2017.0,Semi-Auto,40779.0,Diesel,,55.4,2.0,19995
 5 Series,2016.0,Automatic,53000.0,Diesel,160.0,51.4,3.0,15990
 X3,2019.0,Automatic,7439.0,Diesel,145.0,36.7,3.0,40980
 3 Series,2019.0,Semi-Auto,2980.0,Diesel,150.0,57.7,2.0,25990
 1 Series,2017.0,Automatic,8000.0,Petrol,150.0,54.3,1.5,17448
 5 Series,2019.0,Automatic,,,135.0,,2.0,27489
 2 Series,2019.0,Semi-Auto,1105.0,Diesel,145.0,52.3,2.0,23872
 2 Series,2020.0,Semi-Auto,150.0,Petrol,145.0,42.2,1.5,26400
 1 Series,,Manual,7830.0,Petrol,145.0,41.5,1.5,25323
 3 Series,2017.0,Automatic,,Hybrid,0.0,134.5,,14999
 3 Series,2013.0,Automatic,73000.0,Diesel,,57.6,3.0,11990
 5 Series,2015.0,Automatic,18641.0,,200.0,,2.0,16899
 X4,2020.0,Automatic,5000.0,Diesel,145.0,40.9,3.0,44495
 1 Series,2018.0,Manual,9774.0,Petrol,145.0,37.2,1.5,15881
 X3,2018.0,Semi-Auto,30776.0,Diesel,,48.7,,32995
 3 Series,2017.0,Automatic,27139.0,Diesel,160.0,51.4,3.0,18500
 1 Series,2015.0,Automatic,,Petrol,235.0,,,16990
 X1,2018.0,Automatic,17369.0,Diesel,145.0,60.1,2.0,25995
 2 Series,2015.0,Manual,23195.0,Diesel,20.0,,1.5,12449
 1 Series,2019.0,Manual,8500.0,,145.0,44.1,,20875
 1 Series,2016.0,Manual,,Petrol,125.0,53.3,1.5,11557
 1 Series,2015.0,Manual,24474.0,Petrol,,,1.5,12450
 3 Series,2016.0,Automatic,,Diesel,,64.2,2.0,14599
 2 Series,2017.0,Semi-Auto,,Diesel,,65.7,2.0,15552
 3 Series,2019.0,Semi-Auto,4039.0,Petrol,145.0,42.2,,26832
 3 Series,2017.0,Automatic,41387.0,Diesel,160.0,51.4,,18000
 X5,2016.0,Automatic,20851.0,Diesel,200.0,,3.0,29000
 1 Series,2017.0,Manual,18716.0,Diesel,145.0,65.7,2.0,13900
 5 Series,2015.0,Automatic,60892.0,Diesel,,60.1,2.0,13600
 X3,2019.0,Semi-Auto,5852.0,Diesel,145.0,54.3,2.0,33612
 5 Series,2017.0,Automatic,39728.0,Diesel,125.0,60.1,2.0,16400
 2 Series,2016.0,Manual,,Diesel,30.0,64.2,2.0,12940
 X5,2015.0,Automatic,53000.0,Diesel,200.0,47.1,3.0,22990
 1 Series,,Manual,1569.0,Diesel,,70.6,2.0,22995
 1 Series,2015.0,Manual,,Petrol,300.0,35.3,3.0,16300
 4 Series,2016.0,Automatic,61688.0,Diesel,20.0,70.6,2.0,14389
 1 Series,2013.0,Manual,50248.0,,,,2.0,10000
 4 Series,2017.0,Semi-Auto,35519.0,Diesel,30.0,65.7,2.0,17490
 3 Series,2017.0,Automatic,34544.0,Diesel,,56.5,3.0,17200
 X5,2009.0,Automatic,71000.0,Diesel,330.0,34.4,3.0,10890
 Z4,2020.0,Automatic,111.0,Petrol,145.0,38.7,2.0,31350
 3 Series,2015.0,,41655.0,Diesel,30.0,64.2,2.0,13975
 3 Series,2019.0,Semi-Auto,11974.0,Diesel,,,2.0,23298
 X5,2016.0,Automatic,89676.0,Diesel,200.0,47.1,,23912
 X5,2016.0,Automatic,87467.0,Diesel,160.0,50.4,2.0,18700
 1 Series,2018.0,Manual,22961.0,Petrol,145.0,37.2,,14800
 1 Series,2015.0,Automatic,38046.0,Diesel,,67.3,2.0,13600
 7 Series,2019.0,Semi-Auto,10135.0,Petrol,150.0,34.5,3.0,44980
 1 Series,2016.0,Manual,13778.0,Petrol,30.0,56.5,1.5,13212
 3 Series,2016.0,Automatic,75179.0,Diesel,30.0,62.8,2.0,13995
 M4,2019.0,Semi-Auto,9403.0,Petrol,145.0,32.5,3.0,42275
 3 Series,2020.0,Automatic,1255.0,Petrol,,47.9,2.0,23899
 1 Series,2017.0,Automatic,30139.0,Petrol,200.0,39.8,3.0,19988
 X3,2019.0,Semi-Auto,,Petrol,,,2.0,34882
 3 Series,2019.0,Semi-Auto,9554.0,Diesel,145.0,56.5,,26980
 4 Series,2016.0,Semi-Auto,37897.0,Diesel,125.0,60.1,2.0,19950
 3 Series,2016.0,Manual,15082.0,Petrol,,41.5,2.0,17750
 3 Series,2015.0,Semi-Auto,38399.0,Diesel,145.0,56.5,3.0,16698
 3 Series,2019.0,Automatic,5000.0,Diesel,145.0,52.3,2.0,27980
 4 Series,2015.0,Automatic,40000.0,Diesel,125.0,60.1,,15490
 4 Series,2020.0,Manual,10.0,Diesel,145.0,62.8,2.0,27950
 3 Series,2015.0,Automatic,85000.0,Diesel,125.0,61.4,2.0,10990
 6 Series,2013.0,Automatic,58024.0,Diesel,,,,15499
 M4,2020.0,Semi-Auto,,Petrol,145.0,32.5,3.0,49490
 4 Series,,Semi-Auto,14137.0,,,49.6,3.0,29540
 5 Series,2013.0,Automatic,108000.0,Diesel,125.0,57.6,2.0,6990
 1 Series,2016.0,Manual,36000.0,Diesel,20.0,68.9,2.0,10490
 3 Series,2017.0,Semi-Auto,25585.0,Diesel,145.0,51.4,3.0,22998
 M4,2019.0,Semi-Auto,1501.0,Petrol,145.0,,3.0,49995
 1 Series,2019.0,Semi-Auto,9888.0,Petrol,145.0,34.5,,31000
 1 Series,2016.0,Semi-Auto,,Diesel,20.0,68.9,1.5,16195
 X4,2015.0,Automatic,59016.0,Diesel,145.0,54.3,2.0,17000
 3 Series,2016.0,Manual,63000.0,Diesel,20.0,72.4,2.0,10490
 2 Series,2019.0,Semi-Auto,,Petrol,145.0,47.9,2.0,21680
 5 Series,2019.0,Semi-Auto,101.0,Petrol,,50.4,2.0,42650
 Z4,2012.0,Manual,47800.0,Petrol,,41.5,2.0,10595
 4 Series,2017.0,Automatic,36207.0,Diesel,145.0,65.7,2.0,18790
 4 Series,2019.0,Automatic,,Diesel,145.0,52.3,,28999
 3 Series,2017.0,Manual,35238.0,Diesel,30.0,64.2,2.0,15790
 1 Series,2019.0,Semi-Auto,,Diesel,145.0,72.4,1.5,16500
 X2,2020.0,Semi-Auto,1255.0,Diesel,145.0,58.9,2.0,32495
 X5,2019.0,Semi-Auto,1438.0,Diesel,145.0,37.7,,46440
 1 Series,2013.0,Manual,29000.0,Diesel,120.0,58.9,2.0,7500
 7 Series,2017.0,Semi-Auto,15405.0,,145.0,,3.0,30972
 X6,2020.0,Semi-Auto,3291.0,Diesel,145.0,33.2,3.0,55995
 3 Series,2020.0,Semi-Auto,2725.0,Petrol,145.0,40.4,2.0,36693
 X3,2019.0,Automatic,2483.0,,145.0,30.4,2.0,34000
 3 Series,2020.0,Semi-Auto,1523.0,Diesel,145.0,,2.0,36995
 5 Series,2019.0,Semi-Auto,11115.0,Diesel,145.0,65.7,2.0,25998
 1 Series,2015.0,Manual,,Diesel,20.0,72.4,1.5,8999
 M4,2020.0,Semi-Auto,,Petrol,145.0,34.0,3.0,59995
 2 Series,2019.0,Semi-Auto,9531.0,Diesel,150.0,,2.0,24490
 X5,2015.0,Automatic,,Diesel,205.0,47.1,,21990
 3 Series,2016.0,Manual,32927.0,Diesel,125.0,60.1,2.0,15621
 1 Series,2017.0,Automatic,46222.0,Petrol,145.0,47.9,2.0,15000
 i8,2016.0,Automatic,10087.0,Hybrid,0.0,134.5,1.5,48998
 3 Series,2008.0,Automatic,100790.0,Diesel,165.0,51.4,2.0,5750
 5 Series,2015.0,Automatic,,Diesel,160.0,51.4,3.0,12490
 3 Series,2017.0,Semi-Auto,28243.0,Diesel,145.0,60.1,2.0,19995
 3 Series,2013.0,Manual,,Diesel,30.0,,2.0,8992
 4 Series,2019.0,Semi-Auto,102.0,Diesel,145.0,,2.0,24990
 2 Series,2020.0,Manual,103.0,Petrol,145.0,52.3,1.5,24290
 X5,2019.0,Semi-Auto,11449.0,,145.0,33.6,3.0,56980
 X1,2018.0,Semi-Auto,8550.0,Diesel,145.0,60.1,2.0,20995
 4 Series,2019.0,Semi-Auto,1737.0,Diesel,145.0,53.3,,29980
 3 Series,2015.0,Automatic,38998.0,Diesel,30.0,62.8,2.0,12300
 2 Series,2016.0,Automatic,34090.0,Diesel,20.0,,1.5,11300
 3 Series,2015.0,Semi-Auto,39700.0,Diesel,160.0,,3.0,20000
 1 Series,2014.0,Manual,55760.0,Diesel,30.0,65.7,2.0,9250
 1 Series,2016.0,Manual,,Petrol,,36.2,3.0,18298
 5 Series,2014.0,Automatic,73500.0,Diesel,30.0,,2.0,12000
 3 Series,2019.0,Manual,4293.0,Diesel,145.0,,2.0,24990
 1 Series,2019.0,Semi-Auto,15028.0,,145.0,36.7,1.5,18950
 2 Series,2017.0,Semi-Auto,12887.0,Petrol,145.0,55.4,,15991
 X5,2019.0,Semi-Auto,,Diesel,145.0,37.7,3.0,44800
 1 Series,2017.0,Automatic,9020.0,Diesel,150.0,65.7,2.0,17500
 X4,2016.0,Automatic,43751.0,Diesel,145.0,54.3,2.0,19250
 2 Series,2019.0,Manual,16606.0,Petrol,150.0,52.3,1.5,18350
 X1,2014.0,Manual,,Diesel,160.0,51.4,2.0,11331
 1 Series,2016.0,Automatic,22461.0,Diesel,,,2.0,14300
 5 Series,2020.0,Semi-Auto,105.0,Diesel,145.0,,3.0,38990
 X5,2017.0,Automatic,,Diesel,,47.1,3.0,32498
 1 Series,2017.0,Manual,,Diesel,,72.4,1.5,14950
 3 Series,,Semi-Auto,36771.0,Diesel,,57.6,3.0,14894
 1 Series,2015.0,Manual,28640.0,,0.0,83.1,1.5,10388
 3 Series,2015.0,Automatic,,Diesel,145.0,56.5,3.0,15995
 X3,2016.0,Semi-Auto,42255.0,Diesel,,47.9,3.0,21550
 1 Series,2016.0,Manual,39000.0,Diesel,20.0,70.6,1.5,11990
 1 Series,2018.0,Manual,10842.0,Diesel,145.0,65.7,2.0,16775
 2 Series,2017.0,Semi-Auto,,Diesel,,,2.0,19480
 5 Series,,Manual,82000.0,Diesel,125.0,57.6,2.0,9950
 4 Series,2016.0,Manual,37683.0,Diesel,,62.8,2.0,16099
 3 Series,2017.0,Manual,17907.0,,150.0,43.5,2.0,16891
 X1,2015.0,Manual,37679.0,Diesel,125.0,58.9,2.0,14775
 X5,2019.0,Semi-Auto,5187.0,Diesel,145.0,37.7,3.0,46995
 2 Series,2048.0,Automatic,5215.0,,145.0,,2.0,22516
 1 Series,2016.0,Manual,24000.0,,,65.7,2.0,13491
 5 Series,2013.0,Manual,65000.0,Diesel,,,2.0,8975
 1 Series,2019.0,Automatic,10164.0,Diesel,,68.9,,18480
 2 Series,2019.0,Automatic,,Hybrid,,148.7,1.5,21450
 1 Series,2019.0,Semi-Auto,6499.0,Petrol,145.0,,2.0,30783
 1 Series,,Manual,32000.0,Diesel,30.0,62.8,2.0,16990
 X3,2015.0,Semi-Auto,48000.0,Diesel,145.0,54.3,2.0,16500
 3 Series,2017.0,Automatic,24472.0,,30.0,62.8,2.0,19499
