model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 3 Series,2019.0,Semi-Auto,11812.0,Petrol,150.0,41.5,2.0,26500
 3 Series,2015.0,Semi-Auto,,Diesel,125.0,61.4,2.0,14490
 3 Series,2014.0,Automatic,48760.0,Diesel,,57.6,3.0,14500
 X1,2017.0,Manual,34625.0,Diesel,150.0,60.1,2.0,17900
 X1,2017.0,Semi-Auto,12160.0,Diesel,145.0,65.7,2.0,18500
 2 Series,2014.0,Manual,61819.0,Diesel,30.0,,2.0,10999
 5 Series,2017.0,Semi-Auto,22158.0,Diesel,145.0,51.4,,28920
 4 Series,2016.0,Automatic,34938.0,Petrol,160.0,45.6,2.0,17950
 4 Series,2019.0,Automatic,5757.0,Diesel,145.0,47.9,3.0,31480
 5 Series,2017.0,Automatic,30141.0,Diesel,145.0,60.1,2.0,22350
 X3,2019.0,Semi-Auto,4186.0,Diesel,145.0,,2.0,35362
 X3,,Automatic,4500.0,Diesel,,54.3,,37495
 3 Series,2019.0,,3150.0,Petrol,145.0,42.2,2.0,29995
 4 Series,2019.0,Automatic,7365.0,Petrol,145.0,41.5,3.0,29676
 X3,2019.0,Semi-Auto,4824.0,Petrol,145.0,34.5,,43863
 2 Series,2019.0,Semi-Auto,4627.0,Diesel,145.0,48.7,2.0,23250
 M4,2020.0,Semi-Auto,1200.0,Petrol,145.0,32.5,3.0,56995
 4 Series,2020.0,Semi-Auto,10.0,Petrol,145.0,41.5,3.0,32950
 X4,2019.0,Semi-Auto,10792.0,Diesel,150.0,42.8,2.0,33898
 X2,2019.0,Automatic,,Diesel,145.0,50.4,2.0,28608
 X1,2017.0,Manual,23575.0,Diesel,20.0,68.9,2.0,15732
 4 Series,2017.0,Automatic,,,160.0,49.6,3.0,19800
 X2,2019.0,Semi-Auto,,Petrol,,,2.0,36981
 X4,2019.0,Automatic,9921.0,Diesel,145.0,42.8,2.0,38150
 3 Series,,Semi-Auto,67319.0,Diesel,30.0,,2.0,13995
 1 Series,2017.0,Semi-Auto,,Petrol,150.0,54.3,1.5,15870
 1 Series,2016.0,Semi-Auto,15921.0,Petrol,235.0,37.7,3.0,19790
 M4,2020.0,Semi-Auto,101.0,Petrol,,34.0,3.0,51402
 1 Series,2016.0,Manual,30341.0,Diesel,20.0,72.4,1.5,10950
 1 Series,2014.0,Manual,10503.0,Petrol,145.0,50.4,1.6,12800
 4 Series,2015.0,Semi-Auto,28373.0,,160.0,50.4,3.0,22182
 3 Series,2020.0,Semi-Auto,150.0,Petrol,145.0,42.2,2.0,29875
 2 Series,2019.0,Manual,123.0,,145.0,65.7,2.0,21176
 1 Series,2016.0,Semi-Auto,37529.0,Diesel,20.0,,,14480
 2 Series,2019.0,Manual,3347.0,Diesel,145.0,61.4,2.0,21480
 1 Series,2017.0,Semi-Auto,32000.0,,200.0,39.8,3.0,20081
 X2,2019.0,Semi-Auto,4980.0,Diesel,145.0,52.3,2.0,24995
 4 Series,2018.0,,7621.0,Diesel,150.0,62.8,2.0,19495
 5 Series,2019.0,Automatic,11525.0,Petrol,145.0,,,25450
 X3,2016.0,Automatic,31955.0,Diesel,150.0,54.3,2.0,21000
 2 Series,2019.0,Semi-Auto,,Petrol,145.0,,1.5,20512
 3 Series,2013.0,Manual,76247.0,Diesel,30.0,61.4,2.0,8990
 2 Series,2019.0,Automatic,3339.0,Diesel,145.0,49.6,2.0,25490
 7 Series,2017.0,Automatic,22000.0,,150.0,22.1,6.6,52950
 5 Series,,Semi-Auto,10.0,Diesel,145.0,60.1,,36990
 5 Series,2016.0,Automatic,,Diesel,125.0,60.1,2.0,16499
 3 Series,2018.0,Semi-Auto,3582.0,Petrol,,48.7,2.0,21875
 5 Series,2019.0,Semi-Auto,8560.0,Petrol,145.0,50.4,2.0,26870
 3 Series,2017.0,Automatic,,Diesel,145.0,70.6,2.0,13400
 1 Series,2016.0,Manual,17084.0,Diesel,0.0,78.5,1.5,11788
 4 Series,2017.0,Semi-Auto,31438.0,Diesel,145.0,58.9,2.0,18991
 X2,2019.0,Manual,,Petrol,150.0,41.5,1.5,21998
 3 Series,2016.0,Semi-Auto,13500.0,,0.0,134.5,2.0,19300
 1 Series,2019.0,Automatic,,Diesel,145.0,51.4,2.0,27888
 3 Series,2016.0,Automatic,45716.0,Hybrid,0.0,134.5,,14887
 1 Series,2017.0,Manual,31000.0,Petrol,,36.2,3.0,16490
 1 Series,2017.0,Manual,28831.0,,,65.7,2.0,14498
 i3,2017.0,Automatic,22063.0,Hybrid,0.0,470.8,0.0,21444
 X1,2019.0,Manual,110.0,Diesel,145.0,60.1,2.0,25000
 1 Series,2017.0,Semi-Auto,26525.0,Petrol,150.0,,1.5,14990
 X5,2019.0,Automatic,3981.0,,,37.7,3.0,49980
 3 Series,2016.0,Automatic,50310.0,Diesel,30.0,,,15699
 X5,2017.0,Automatic,21379.0,Diesel,200.0,47.1,3.0,31900
 5 Series,2016.0,Automatic,27710.0,Diesel,30.0,62.8,2.0,15850
 4 Series,2016.0,Semi-Auto,27089.0,Diesel,30.0,,2.0,17450
 X5,2019.0,Semi-Auto,6224.0,Diesel,145.0,36.7,3.0,47500
 4 Series,2019.0,Semi-Auto,11259.0,Diesel,150.0,,2.0,25950
